=== 深沟球轴承 === (9 cols)
ID|BCode|d|DD|B|Cr|Cor|nlimz|nlimy
184|16024|120|180|19|58.8|60.4|3000|3800
185|6024|120|180|28|87.5|79.2|3000|3800
186|6224|120|215|40|155|131|2600|3400
187|6324|120|260|55|228|208|2200|2800
188|61826|130|165|18|37.9|42.9|3200|4000
189|61926|130|180|24|65.1|67.2|3000|3800
190|16026|130|200|22|79.7|79.2|2800|3600
191|6026|130|200|33|105|96.8|2800|3600
192|6226|130|230|40|165|148.0|2400|3200
193|6326|130|280|58|253|242|2000|2600
194|61828|140|175|18|38.2|44.3|3000|3800
195|61928|140|190|24|66.6|71.2|2800|3600
196|16028|140|210|22|82.1|85|2400|3200
197|6028|140|210|33|116|108|2400|3200
198|6228|140|250|42|179|167|2000|2800
199|6328|140|300|62|275|272|1900|2400
200|61830|150|190|20|49.1|57.1|2800|3400
201|61930|150|210|28|84.7|90.2|2600|3200
202|16030|150|225|24|91.9|98.5|2200|3000
203|6030|150|225|35|132|125|2200|3000
204|6230|150|270|45|203|199|1900|2600
205|6330|150|320|65|288|295|1700|2200
206|61832|160|200|20|49.6|59.1|2600|3200
207|61932|160|220|28|86.9|95.5|2400|3000
208|16032|160|240|25|98.7|107|2000|2800
209|6032|160|240|38|145|138|2000|2800
210|6232|160|290|48|215|218|1800|2400
211|6332|160|340|68|313|340|1600|2000
212|61834|170|215|22|61.5|73.3|2200|3000
213|61934|170|230|28|88.8|100|2000|2800
214|16034|170|260|28|118|130|1900|2600
215|6034|170|260|42|170|170|1900|2600
216|6234|170|310|52|245|260|1700|2200
217|6334|170|360|72|335|378|1500|1900
218|61836|180|225|22|62.3|75.9|2000|2800
219|61936|180|250|33|118|133|1900|2600
220|16036|180|280|31|144|157|1800|2400
221|6036|180|280|46|188|198|1800|2400
222|6236|180|320|52|262|285|1600|2000
223|61838|190|240|24|75.1|91.6|1900|2600
224|61938|190|260|33|117|133|1800|2400
225|16038|190|290|31|149|168|1700|2200
226|6038|190|290|46|188|200|1700|2200
227|6238|190|340|55|285|322|1500|1900
228|61840|200|250|24|74.2|91.2|1800|2400
229|61940|200|280|38|149|168|1700|2200
230|16040|200|310|34|167|191|1800|2000
231|6040|200|310|51|205|225|1600|2000
232|6240|200|360|58|288|332|1400|1800
233|61844|220|270|24|76.4|97.8|1700|2200
234|61944|220|300|38|152|178|1600|2000
235|16044|220|340|37|181|216|1400|1800
236|6044|220|340|56|252|268|1400|1800
237|6244|220|400|65|355|365|1200|1600
238|61848|240|300|28|83.5|108|1500|1900
239|61948|240|320|38|142|178|1400|1800
240|16048|240|360|37|172|210|1200|1600
241|6048|240|360|56|270|292|1200|1600
242|6248|240|440|72|358|467|1000|1400
243|61852|260|320|28|95|128|1300|1700
244|61952|260|360|46|210|268|1200|1600
245|16052|260|400|44|235|310|1100|1500
246|6052|260|400|65|292|372|1100|1500
247|61856|280|350|33|135|178|1200|1600
248|61956|280|380|46|210|268|1100|1400
249|6056|280|420|65|305|408|950|1300
250|61860|300|380|38|162|222|1100|1400
251|61960|300|420|56|270|370|1000|1300
252|61864|320|400|38|168|235|1000|1300
253|61964|320|440|56|275|392|950|1200
254|6064|320|480|74|345|510|900|1100
255|61968|340|460|56|292|418|900|1100
256|6072|360|540|82|400|622|750|950
257|61876|380|480|46|235|348|800|1000
258|6080|400|600|90|512|868|630|800
259|61892|460|580|56|322|538|600|750
260|619/500|500|670|78|445|808|500|630
261|60/500|500|720|100|625|1178|450|560
Total: 261
=== 角接触球轴承 === (9 cols)
ID|BCode|d|DD|B|Cr|Cor|nlimz|nlimy
1|7000C|10|26|8|4.92|2.25|19000|28000
2|7000AC|10|26|8|4.75|2.12|19000|28000
3|7200C|10|30|9|5.82|2.95|18000|26000
4|7200AC|10|30|9|5.58|2.82|18000|26000
5|700lC|12|28|8|5.42|2.65|18000|26000
6|700lAC|12|28|8|5.20|2.55|18000|26000
7|7201C|12|32|10|7.35|3.52|17000|24000
8|7201AC|12|32|10|7.10|3.35|17000|24000
9|7002C|15|32|9|6.25|3.42|17000|24000
10|7002AC|15|32|9|5.95|3.25|17000|24000
11|7202C|15|35|11|8.68|4.62|16000|22000
12|7202AC|15|35|11|8.35|4.40|16000|22000
13|7003C|17|35|10|6.60|3.85|16000|22000
14|7003AC|17|35|10|6.30|3.68|16000|22000
15|7203C|17|40|12|10.8|5.95|15000|20000
16|7203AC|17|40|12|10.5|5.65|15000|20000
17|7004C|20|42|12|10.5|6.08|14000|19000
18|7004AC|20|42|12|10.0|5.78|14000|19000
19|7204C|20|47|14|14.5|8.22|13000|18000
20|7204AC|20|47|14|14.0|7.82|13000|18000
21|7204B|20|47|14|14.0|7.85|13000|18000
22|7005C|25|47|12|11.5|7.45|12000|17000
23|7005AC|25|47|12|11.2|7.08|12000|17000
24|7205C|25|52|15|16.5|10.5|11000|16000
25|7205AC|25|52|15|15.8|9.88|11000|16000
26|7205B|25|52|15|15.8|9.45|9500|14000
27|7305B|25|62|17|26.2|15.2|8500|12000
28|7006C|30|55|13|15.2|10.2|9500|14000
29|7006AC|30|55|13|14.5|9.85|9500|14000
30|7206C|30|62|16|23.0|15.0|9000|13000
31|7206AC|30|62|16|22.0|14.2|9000|13000
32|7206B|30|62|16|20.5|13.8|8500|12000
33|7306B|30|72|19|31.0|19.2|7500|10000
34|7007C|35|62|14|19.5|14.2|8500|12000
35|7007AC|35|62|14|18.5|13.5|8500|12000
36|7207C|35|72|17|30.5|20.0|8000|11000
37|7207AC|35|72|17|29.0|19.2|8000|11000
38|7207B|35|72|17|27.0|18.8|7500|10000
39|7307B|35|80|21|38.2|24.5|7000|9500
40|7008C|40|68|15|20|15.2|8000|11000
41|7008AC|40|68|15|19.0|14.5|8000|11000
42|7208C|40|80|18|36.8|25.8|7500|10000
43|7208AC|40|80|18|35.2|24.5|7500|10000
44|7208B|40|80|18|32.5|23.5|6700|9000
45|7308B|40|90|23|46.2|30.5|6300|8500
46|7408B|40|110|27|67.0|47.5|6000|8000
47|7009C|45|75|16|25.8|20.5|7500|10000
48|7009AC|45|75|16|25.8|19.5|7500|10000
49|7209C|45|85|19|38.5|28.5|6700|9000
50|7209AC|45|85|19|36.8|27.2|6700|9000
51|7209B|45|85|19|36.0|26.2|6300|8500
52|7309B|45|100|25|59.5|39.8|6000|8000
53|7010C|50|80|16|26.5|22.0|6700|9000
54|7010AC|50|80|16|25.2|21.0|6700|9000
55|7210C|50|90|20|42.8|32.0|6300|8500
56|7210AC|50|90|20|40.8|30.5|6300|8500
57|7210B|50|90|20|37.5|29.0|5600|7500
58|7310B|50|110|27|68.2|48.0|5000|6700
59|7410B|50|130|31|95.2|64.2|5000|6700
60|7001C|55|90|18|37.2|30.5|6000|8000
61|7011AC|55|90|18|35.2|29.2|6000|8000
62|7211C|55|100|21|52.8|40.5|5600|7500
63|7211AC|55|100|21|50.5|38.5|5600|7500
64|7211B|55|100|21|46.2|36.0|5300|7000
65|7311 B|55|120|29|78.8|56.5|4500|6000
66|7012C|60|95|18|38.2|32.8|5600|7500
67|7012AC|60|95|18|36.2|31.5|5600|7500
68|7212C|60|110|22|61.0|48.5|5300|7000
69|7212AC|60|110|22|58.5|46.2|5300|7000
70|7212B|60|110|22|56.0|44.5|4800|6300
71|7312B|60|130|31|90.0|66.3|4300|5600
72|7412B|60|150|35|118|85.5|4300|5600
73|7013C|65|100|18|40.0|35.5|5300|7000
74|7013AC|65|100|18|38.0|33.8|5300|7000
75|7213C|65|120|23|69.8|55.2|4800|6300
76|7213AC|65|120|23|66.5|52.5|4800|6300
77|7213B|65|120|23|62.5|53.2|4300|5600
78|7313B|65|140|33|102|77.8|4000|5300
79|7014C|70|110|20|48.2|43.5|5000|6700
80|7014AC|70|110|20|45.8|41.5|5000|6700
81|7214C|70|125|24|70.2|60.0|4500|6700
82|7214AC|70|125|24|69.2|57.5|4500|6700
83|7214B|70|125|24|70.2|57.2|4300|5600
84|7314B|70|150|35|115|87.2|3600|4800
85|7015C|75|115|20|49.5|46.5|4800|6300
86|7015AC|75|115|20|46.8|44.2|4800|6300
87|7215C|75|130|25|79.2|65.8|4300|5600
88|7215AC|75|130|25|75.2|63.0|4300|5600
89|7215B|75|130|25|72.8|63.0|4000|5300
90|7315B|75|160|37|125|98.5|3400|4500
91|7016C|80|125|22|58.5|55.8|4500|6000
92|7016AC|80|125|22|55.5|53.2|4500|6000
93|7216C|80|140|26|89.5|78.2|4000|5300
94|7216AC|80|140|26|85.0|74.5|4000|5300
95|7216B|80|140|26|80.2|69.5|3600|4800
96|7316B|80|170|39|135|110|3600|4800
97|7017C|85|130|22|62.5|60.2|4300|5600
98|7017AC|85|130|22|59.2|57.2|4300|5600
99|7217C|85|150|28|99.8|85.0|3800|5000
100|7217AC|85|150|28|94.8|81.5|3800|5000
101|7217B|85|150|28|93.0|81.5|3400|4500
102|7317B|85|180|41|48|122|3000|4000
103|7018C|90|140|24|71.5|69.8|4000|5300
104|7018AC|90|140|24|67.5|66.5|4000|5300
105|7218C|90|160|30|22|105|3600|4800
106|7218AC|90|160|30|18|100|3600|4800
107|7218B|90|160|30|05|94.5|3200|4300
108|7318B|90|190|43|58|138|2800|3800
109|7019C|95|145|24|73.5|73.2|3800|5000
110|7019AC|95|145|24|69.5|69.8|3800|5000
111|7219C|95|170|32|35|115|3400|4500
112|7219AC|95|170|32|28|108|3400|4500
113|7219B|95|170|32|20|108|3000|4000
114|7319B|95|200|45|72|155|2800|3800
115|7O20C|100|150|24|79.2|78.5|3800|5000
116|7020AC|100|150|24|75|74.8|3800|5000
117|7220C|100|180|34|148|128|3200|4300
118|7220AC|100|180|34|142|122|3200|4300
119|7220B|100|180|34|130|115|2600|3600
120|7230B|100|215|47|188|180|2400|3400
121|7021C|105|160|26|88.5|88.8|3600|4800
122|7021AC|105|160|26|83.8|84.2|3600|4800
123|7221C|105|190|36|162|145|3000|4000
124|7221AC|105|190|36|155|138|3000|4000
125|7221B|105|190|36|142|130|2600|3600
126|7321B|105|225|49|202|195|2200|3200
127|7022C|110|170|28|100|102|3600|4800
128|7022AC|110|170|28|95.5|97.2|3600|4800
129|7222C|110|200|38|175|162|2800|3800
130|7222AC|110|200|38|168|155|2800|3800
131|7222B|110|200|38|155|145|2400|3400
132|7322B|110|240|50|225|225|2000|3000
133|7024C|120|180|28|108|110|2800|3800
134|7024AC|120|180|28|102|105|2800|3800
135|7224C|120|215|40|188|180|2400|3400
136|7224AC|120|215|40|180|172|2400|3400
137|7026C|130|200|33|128|135|2600|3600
138|7026AC|130|200|33|122|128|2600|3200
139|7226C|130|230|40|205|210|2200|3200
140|7226AC|130|230|40|195|200|2200|3200
141|7028C|140|210|33|140|145|2400|3400
142|7028AC|140|210|33|140|150|2200|3200
143|7228C|140|250|42|230|245|1900|2800
144|7228AC|140|250|42|230|235|1900|2800
145|7328B|140|300|62|288|315|1700|2400
146|7030C|150|225|35|160|155|2200|3200
147|7030AC|150|225|35|152|168|2000|3000
148|7232C|160|290|48|262|298|1700|2400
149|7232AC|160|290|48|248|278|1700|2400
150|7034AC|170|260|42|192|222|1800|2600
151|7234C|170|310|52|322|390|1600|2200
152|7234AC|170|310|52|305|368|1600|2200
153|7236C|180|320|52|335|415|1500|2000
154|7236AC|180|320|52|315|388|1500|2000
155|7038AC|190|290|46|215|262|1600|2200
156|7040AC|200|310|51|252|325|1500|2000
157|7240C|200|360|58|360|475|1300|1800
158|7240AC|200|360|58|345|448|1300|1800
159|7244AC|220|400|65|358|482|1100|1600
Total: 159
=== 圆锥滚子轴承 === (12 cols)
ID|BCode|d|DD|T|e|Y|Yo|Cr|Cor|nlimz|nlimy
1|30302|15|42|14|0.29|2.1|1.2|22.8|21.5|9000|12000
2|30203|17|40|13|0.35|1.7|1|20.8|21.8|9000|12000
3|30303|17|47|15|0.29|2.1|1.2|28.2|27.2|8500|11000
4|32303|17|47|20|0.29|2.1|1.2|35.2|36.2|8500|11000
5|32904|20|37|12|0.32|1.9|1|13.2|17.5|9500|13000
6|32004|20|42|15|0.37|1.6|0.9|25.0|28.2|8500|11000
7|30204|20|47|15|0.35|1.7|1|28.2|30.5|8000|10000
8|30304|20|52|16|0.3|2|1.1|33.0|33.2|7500|9500
9|32304|20|52|22|0.3|2|1.1|42.8|46.2|7500|9500
10|329/22|22|40|12|0.32|1.9|1|15.0|20.0|8500|11000
11|320/22|22|44|15|0.40|1.5|0.8|26.0|30.2|8000|10000
12|32905|25|42|12|0.32|1.9|1|16.0|21.0|6300|10000
13|32005|25|47|15|0.43|1.4|0.8|28.0|34.0|7500|9500
14|33005|25|47|17|0.29|2.1|1.1|32.5|42.5|7500|9500
15|30205|25|52|16|0.37|1.6|0.9|32.2|37.0|7000|9000
16|33205|25|52|22|0.35|1.7|0.9|47.0|55.8|7000|9000
17|30305|25|62|18|0.3|2|1.1|46.8|48.0|6300|8000
18|31305|25|62|18|0.83|0.7|0.4|40.5|46.0|6300|8000
19|32305|25|62|25|0.3|2|1.1|61.5|68.8|6300|8000
20|329/28|28|45|12|0.32|1.9|1|16.8|22.8|7500|9500
21|320/28|28|52|16|0.43|1.4|0.8|31.5|40.5|6700|8500
22|332/28|28|58|24|0.34|1.8|1.0|58.0|68.2|6300|8000
23|32906|30|47|12|0.32|1.9|11|17.0|23.2|7000|9000
24|32006 X2|30|55|17|0.26|2.3|1.3|27.8|35.5|6300|8000
25|32006|30|55|17|0.43|1.4|0.8|35.8|46.8|6300|8000
26|33006|30|55|20|0.29|2.1|1.1|43.2|58.8|6300|8000
27|30206|30|62|17|0.37|1.6|0.9|43.2|50.5|6000|7500
28|32206|30|62|21|0.37|1.6|0.9|51.8|63.8|6000|7500
29|33206|30|62|25|0.34|1.8|1|63.8|75.5|6000|7500
30|30306|30|72|21|0.31|1.9|1.1|59.0|63.0|5600|7000
31|31306|30|72|21|0.83|0.7|0.4|52.5|60.5|5600|7000
32|32306|30|72|29|0.31|1.9|1.1|81.5|96.5|5600|2000
33|329/32|32|52|14|0.32|1.9|1|23.8|32.5|6300|8000
34|320/32|32|58|17|0.45|1.3|0.7|36.5|49.2|6000|7500
35|332/32|32|65|26|0.35|1.7|1|68.8|82.2|5600|7000
36|32907|35|55|14|0.29|2.1|1.1|25.8|34.8|6000|7500
37|32007 X2|35|62|18|0.29|2.1|1.1|33.8|47.2|5600|7000
38|32007|35|62|18|0.44|1.4|0.8|43.2|59.2|5600|7000
39|33007|35|62|21|0.31|2|1.1|46.8|63.2|5600|7000
40|30207|35|72|18|0.37|1.6|0.9|54.2|63.5|5300|6700
41|32207|35|72|24|0.37|1.6|0.9|70.5|89.5|5300|6700
42|33207|35|72|28|0.35|1.7|0.9|82.5|102|5300|6700
43|30307|35|80|23|0.31|1.9|1.1|75.2|82.5|5000|6300
44|31307|35|80|23|0.83|0.7|0.4|65.8|76.8|5000|6300
45|32307|35|80|33|0.31|1.9|1.1|99.0|118|5000|6300
46|32908 X2|40|62|15|0.28|2.1|1.2|21.2|28.2|5600|7000
47|32908|40|62|15|0.29|2.1|11.1|31.5|46.0|5600|7000
48|32008 X2|40|68|19|0.3|2|1.1|39.8|55.2|5300|6700
49|32008|40|68|19|0.38|1.6|0.9|51.8|71.0|5300|6700
50|33008|40|68|22|0.28|2.1|1.2|60.2|79.5|5300|6700
51|33108|40|75|26|0.36|1.7|0.9|84.8|110|5000|6300
52|30208|40|80|20|0.37|1.6|0.9|63.0|74.0|5000|6300
53|32208|40|80|25|0.37|1.6|0.9|77.8|77.2|5000|6300
54|33208|40|80|32|0.36|1.7|0.9|105|135|5000|6300
55|30308|40|90|25|0.35|1.7|1|90.8|108|4500|5600
56|31308|40|90|25|0.83|0.7|0.4|81.5|96.5|4500|5600
57|32308|40|90|35|0.35|1.7|1|115|148|4500|5600
58|32909 X2|45|68|15|0.31|1.9|1.1|22.2|32.8|5300|6700
59|32909|45|68|15|0.32|1.7|1|32.0|48.5|5300|6700
60|32009 X2|45|75|20|0.3|2|1.1|44.5|62.5|5000|6300
61|32009|45|75|20|0.39|1.5|0.8|58.5|81.5|5000|6300
62|33009|45|75|24|0.32|1.9|1|72.5|100|5000|6300
63|33109|45|80|26|0.38|1.6|1|87.0|118|4500|5600
64|30209|45|86|21|0.4|1.5|0.8|67.8|83.5|4500|5600
65|32209|45|85|25|0.4|1.5|0.8|80.8|105|4500|5600
66|33209|45|85|32|0.39|1.5|0.9|110|145|4500|5600
67|30309|45|100|27|0.35|1.7|1|108|130|4000|5000
68|31309|45|100|27|0.83|0.7|0.4|95.5|115|4000|5000
69|32309|45|100|38|0.35|1.7|1|145|188|4000|5000
70|32910 X2|50|72|15|0.35|1.7|0.9|22.2|32.8|5000|6300
71|32910|50|72|15|0.34|1.8|1|36.8|56.0|5000|6300
72|32010 X2|50|80|20|0.32|1.9|1|45.8|66.2|4500|5600
73|32010|50|80|20|0.42|1.4|0.8|61.0|89.0|4500|5600
74|33010|50|30|24|0.32|1.9|1|76.8|110|4500|5600
75|33110|50|85|26|0.41|1.5|0.8|89.2|125|4300|5300
76|30210|50|90|22|0.42|1.4|0.8|73.2|92.0|4300|5300
77|32210|50|90|25|0.42|1.4|0.8|82.8|108|4300|5300
78|33210|50|90|32|0.41|1.5|0.8|112|155|4300|5300
79|30310|50|110|29|0.35|1.7|1|130|158|3800|4800
80|31310|50|110|29|0.83|0.7|0.4|108|128|3800|4800
81|32310|50|110|42|0.35|1.7|1|178|235|3800|4800
82|32911|55|80|17|1.31|1.9|1.1|41.5|66.8|4800|6000
83|32011 X2|55|90|23|0.31|1.9|1.1|63.8|93.2|4000|5000
84|32011|55|90|23|0.41|1.5|0.8|80.2|118|4000|5000
85|33011|55|90|27|0.31|1.9|1.1|94.8|145|4000|5000
86|33111|55|95|30|0.37|1.6|0.9|115|165|3800|4800
87|30211|55|100|23|0.4|1.5|0.8|90.8|115|3800|4800
88|32211|55|100|27|0.4|1.5|0.8|108|142|3800|4800
89|33211|55|100|35|0.4|1.5|0.8|142|198|3800|4800
90|30311|55|120|32|0.35|1.7|1|152|188|3400|4300
91|31311|55|120|32|0.83|0.7|0.4|130|158|3400|4300
92|32311|55|120|46|0.35|1.7|1|202|270|3400|4300
93|32912 X2|60|85|17|0.38|1.6|0.9|34.5|56.5|4000|5000
94|32912|60|85|17|0.33|1.8|1|46.0|73.0|4000|5000
95|32012 X2|60|95|23|0.33|1.8|1|64.8|98.0|3800|4800
96|32612|60|95|23|0.43|1.4|0.8|81.8|122|3800|4800
97|33012|60|95|27|0.33|1.8|1|96.8|150|3800|4800
98|33112|60|100|30|0.4|1.5|0.8|118|172|3600|4500
99|30212|60|110|24|0.4|1.5|0.8|102|130|3600|4500
100|32212|60|110|30|0.4|1.5|0.8|132|180|3600|4500
